item_id,title,brand,rating,num_ratings,price,shipping,img_url,max_res,display_port,hdmi,direct_x,model,shipping_fee
932,"GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TGAMING OC-12GD Video Card",GIGABYTE,4.9,39,849.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4070-ti-gv-n407tgaming-oc-12gd/p/N82E16814932580,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,GV-N407TGAMING OC-12GD,0.0
932,GIGABYTE Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD,GIGABYTE,4.3,95,1263.77,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4080-gv-n4080gaming-oc-16gd/p/N82E16814932561,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,GV-N4080GAMING OC-16GD,0.0
932,GIGABYTE EAGLE OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080EAGLE OC-16GD,GIGABYTE,4.0,39,1239.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4080-gv-n4080eagle-oc-16gd/p/N82E16814932562,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12,GV-N4080EAGLE OC-16GD,0.0
137,MSI Ventus GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB VENTUS 3X OC,MSI,4.6,32,1249.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4080-rtx-4080-16gb-ventus-3x-oc/p/N82E16814137765,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4080 16GB VENTUS 3X OC,0.0
150,"XFX SPEEDSTER MERC319 AMD Radeon RX 6800 XT CORE Gaming Graphics Card with 16GB GDDR6 HDMI 3 x DP, AMD RDNA 2 (RX-68XTALFD9)",XFX,4.3,28,579.99,Free Shipping,https://www.newegg.com/xfx-radeon-rx-6800-xt-rx-68xtalfd9/p/N82E16814150848,,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX-68XTALFD9,0.0
137,MSI Mech Radeon RX 6500 XT 4GB GDDR6 PCI Express 4.0 Video Card RX 6500 XT MECH 2X 4G OC,MSI,4.2,13,164.99,Free Shipping,https://www.newegg.com/msi-radeon-rx-6500-xt-rx-6500-xt-mech-2x-4g-oc/p/N82E16814137709,7680 x 4320,1 x DisplayPort 1.4a,1 x HDMI 2.1,,RX 6500 XT MECH 2X 4G OC,0.0
137,MSI Suprim GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 SUPRIM LIQUID X 24G,MSI,4.7,72,1799.99,$19.99 Shipping,https://www.newegg.com/msi-geforce-rtx-4090-rtx-4090-suprim-liquid-x-24g/p/N82E16814137759,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4090 SUPRIM LIQUID X 24G,19.99
883,Intel Arc A770 Limited Edition 16GB PCI Express 4.0 Graphics Card 21P01J00BA,Intel,4.3,143,349.0,Free Shipping,https://www.newegg.com/intel-21p01j00ba/p/N82E16814883001,7680 x 4320,3 x DisplayPort 2.0,1 x HDMI 2.1,,21P01J00BA,0.0
932,GIGABYTE Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD,GIGABYTE,4.7,154,1699.99,$9.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4090-gv-n4090gaming-oc-24gd/p/N82E16814932550,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,GV-N4090GAMING OC-24GD,9.99
932,GIGABYTE Gaming OC Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 ATX Video Card GV-R675XTGAMING OC-12GD,GIGABYTE,4.5,60,399.99,Free Shipping,https://www.newegg.com/gigabyte-gv-r675xtgaming-oc-12gd/p/N82E16814932519,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-R675XTGAMING OC-12GD,0.0
930,ASRock Challenger D Radeon RX 6700 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6700XT CLD 12GO,ASRock,4.6,68,344.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6700-xt-rx6700xt-cld-12go/p/N82E16814930059,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX6700XT CLD 12GO,0.0
137,MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G,MSI,4.6,72,1649.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4090-rtx-4090-gaming-x-trio-24g/p/N82E16814137761,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4090 GAMING X TRIO 24G,0.0
137,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,MSI,4.8,301,364.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-ventus-2x-12g-oc/p/N82E16814137632,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RTX3060Ventus2X12GOC,0.0
126,"ASUS ROG Strix GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4090-O24G-GAMING",ASUS,4.8,45,2009.99,$19.99 Shipping,https://www.newegg.com/asus-geforce-rtx-4090-rog-strix-rtx4090-o24g-gaming/p/N82E16814126593,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,ROG-STRIX-RTX4090-O24G-GAMING,19.99
932,"GIGABYTE Radeon RX 6800 GAMING OC 16G Graphics Card, WINDFORCE 3X Cooling System, 16GB 256-bit GDDR6, GV-R68GAMING OC-16GD Video Card, Powered by AMD RDNA 2, HDMI 2.1",GIGABYTE,4.4,36,449.99,$14.99 Shipping,https://www.newegg.com/gigabyte-radeon-rx-6800-gv-r68gaming-oc-16gd/p/N82E16814932382,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-R68GAMING OC-16GD,14.99
137,MSI Mech Radeon RX 6650 XT 8GB GDDR6 PCI Express 4.0 Video Card RX 6650 XT MECH 2X 8G OC,MSI,4.5,83,279.99,Free Shipping,https://www.newegg.com/msi-rx-6650-xt-mech-2x-8g-oc/p/N82E16814137737,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RX 6650 XT MECH 2X 8G OC,0.0
932,"GIGABYTE GeForce RTX 4070 Ti AERO OC 12G Graphics Card, 3x WINDFORCE Fans, 12GB 192-bit GDDR6X, GV-N407TAERO OC-12GD Video Card",GIGABYTE,4.8,33,899.99,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4070-ti-gv-n407taero-oc-12gd/p/N82E16814932582,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,GV-N407TAERO OC-12GD,0.0
930,ASRock Radeon RX 6600 8GB GDDR6 PCI Express 4.0 Video Card RX6600 CLD 8G,ASRock,4.7,162,219.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6600-rx6600-cld-8g/p/N82E16814930066,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX6600 CLD 8G,0.0
137,MSI Gaming GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti GAMING X TRIO 12G,MSI,4.8,57,879.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4070-ti-rtx-4070-ti-gaming-x-trio-12g/p/N82E16814137771,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1a,DirectX 12 Ultimate,RTX 4070 Ti GAMING X TRIO 12G,0.0
126,"ASUS TUF Gaming GeForce RTX 4090 OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4090-O24G-GAMING",ASUS,4.4,59,1799.99,Free Shipping,https://www.newegg.com/asus-geforce-rtx-4090-tuf-rtx4090-o24g-gaming/p/N82E16814126594,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,TUF-RTX4090-O24G-GAM,0.0
126,"ASUS TUF Gaming NVIDIA GeForce RTX 4070 Ti OC Edition Gaming Graphics Card (PCIe 4.0, 12GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4070TI-O12G-GAMING",ASUS,4.6,48,849.99,Free Shipping,https://www.newegg.com/asus-geforce-rtx-4070-ti-tuf-rtx4070ti-o12g-gaming/p/N82E16814126606,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1a,,TUF-RTX4070TI-O12G-GAMING,0.0
930,ASRock Phantom Gaming Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XT PG 20GO,ASRock,4.9,9,799.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-7900-xt-rx7900xt-pg-20go/p/N82E16814930083,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,,RX7900XT PG 20GO,0.0
150,XFX SPEEDSTER MERC310 Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 Video Card RX-79XMERCB9,XFX,4.7,41,1029.99,Free Shipping,https://www.newegg.com/xfx-radeon-rx-7900-xtx-rx-79xmercb9/p/N82E16814150878,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,,RX-79XMERCB9,0.0
930,ASRock Challenger Arc A380 6GB GDDR6 PCI Express 4.0 ITX Video Card A380 CLI 6G OC,ASRock,3.8,54,119.99,Free Shipping,https://www.newegg.com/asrock-arc-a380-a380-cli-6g/p/N82E16814930076,7680 x 4320,3 x DisplayPort 2.0,1 x HDMI 2.0b,,A380 CLI 6G OC,0.0
202,SAPPHIRE NITRO Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11322-01-40G,Sapphire Tech,4.6,16,1179.99,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-7900-xtx-11322-01-40g/p/N82E16814202428,7680 x 4320,2 x DisplayPort 2.1,2 x HDMI 2.1,,11322-01-40G,0.0
137,MSI Suprim GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 SUPRIM X 24G,MSI,4.4,22,1739.99,$19.99 Shipping,https://www.newegg.com/msi-geforce-rtx-4090-rtx-4090-suprim-x-24g/p/N82E16814137760,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4090 SUPRIM X 24G,19.99
930,ASRock Phantom Gaming D Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 Video Card RX6600XT PGD 8GO,ASRock,4.2,5,269.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6600-xt-rx6600xt-pgd-8g/p/N82E16814930064,7680 x 4320,3 x DisplayPort 1.4 with DSC,1 x HDMI 2.1 VRR,,RX6600XT PGD 8GO,0.0
930,ASRock Phantom Gaming Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XTX PG 24GO,ASRock,4.0,13,999.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-7900-xtx-rx7900xtx-pg-24go/p/N82E16814930081,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,,RX7900XTX PG 24GO,0.0
930,ASRock Phantom Gaming Arc A770 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card A770 PGD 8GO,ASRock,3.4,8,269.99,Free Shipping,https://www.newegg.com/asrock-arc-a770-a770-pgd-8go/p/N82E16814930077,7680 x 4320,3 x DisplayPort 2.0,1 x HDMI 2.1,,A770 PGD 8GO,0.0
126,"ASUS TUF Gaming GeForce RTX 4080 Gaming Graphics Card (PCIe 4.0, 16GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) TUF-RTX4080-16G-GAMING",ASUS,4.8,13,1199.0,Free Shipping,https://www.newegg.com/asus-geforce-rtx-4080-tuf-rtx4080-16g-gaming/p/N82E16814126599,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,TUF-RTX4080-16G-GAMING,0.0
126,"ASUS TUF Gaming NVIDIA GeForce RTX 3070 Ti OC V2 Graphics Card (PCIe 4.0, 8GB GDDR6X, HDMI 2.1, DisplayPort 1.4a, Military-grade Certification, GPU Tweak III) TUF-RTX3070TI-O8G-V2-GAMING",ASUS,4.9,16,649.99,Free Shipping,https://www.newegg.com/asus-geforce-rtx-3070-ti-tuf-rtx3070ti-o8g-v2-gaming/p/N82E16814126611,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,TUF-RTX3070TI-O8G-V2-GAMING,0.0
932,GIGABYTE Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0) (LHR),GIGABYTE,4.8,156,548.49,Free Shipping,https://www.newegg.com/gigabyte-geforce-rtx-3070-gv-n3070gaming-oc-8gd/p/N82E16814932449,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N3070GAMING OC-8G,0.0
932,GIGABYTE Eagle GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070EAGLE-8GD (rev. 2.0) (LHR),GIGABYTE,5.0,2,499.99,$9.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-3070-gv-n3070eagle-8gd/p/N82E16814932452,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-N3070EAGLE-8GD,9.99
137,MSI Gaming GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING TRIO 24G,MSI,4.6,62,1599.99,$14.99 Shipping,https://www.newegg.com/msi-geforce-rtx-4090-rtx-4090-gaming-trio-24g/p/N82E16814137762,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4090 GAMING TRIO 24G,14.99
500,"ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC LHR 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, Active Fan Control, FREEZE Fan Stop ZT-A30610H-10MLHR",ZOTAC,4.7,87,419.99,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-3060-ti-zt-a30610h-10mlhr/p/N82E16814500518,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,ZT-A30610H-10MLHR,0.0
137,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 3X 12G OC,MSI,4.8,152,374.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-ventus-3x-12g-oc/p/N82E16814137631,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RTX3060Ventus3X12GOC,0.0
930,ASRock Challenger Pro Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX6750XT CLP 12GO,ASRock,4.3,27,379.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6750-xt-rx6750xt-clp-12go/p/N82E16814930071,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX6750XT CLP 12GO,0.0
932,"GIGABYTE Radeon RX 6800 XT GAMING OC 16G Graphics Card, WINDFORCE 3X Cooling System, 16GB 256-bit GDDR6, GV-R68XTGAMING OC-16GD Video Card, Powered by AMD RDNA 2, HDMI 2.1",GIGABYTE,4.3,58,569.99,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-6800-xt-gv-r68xtgaming-oc-16gd/p/N82E16814932381,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-R68XTGAMING OC-16,0.0
930,ASRock Challenger Arc A750 8GB GDDR6 PCI Express 4.0 x16 ATX Video Card A750 CLD 8GO,ASRock,4.8,5,229.99,Free Shipping,https://www.newegg.com/asrock-arc-a750-a750-cld-8go/p/N82E16814930078,7680 x 4320,2 x DisplayPort,1 x HDMI 2.1,,A750 CLD 8GO,0.0
202,"SAPPHIRE NITRO+ Radeon RX 6800 XT 16GB GDDR6 PCI Express 4.0 ATX Gaming Graphics Card, AMD RDNA 2 11304-02-20G",Sapphire Tech,4.3,22,569.99,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-6800-xt-11304-02-20g/p/N82E16814202391,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,11304-02-20G,0.0
137,MSI Ventus GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ti VENTUS 3X 8G OC LHR,MSI,4.6,100,479.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-3060-ti-rtx-3060-ti-ventus-3x-8g-oc-lhr/p/N82E16814137680,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RTX 3060 Ti VENTUS 3X 8G OC LHR,0.0
930,"ASRock Radeon RX 6800 Phantom Gaming D Gaming Graphics Card with 16GB GDDR6, AMD RDNA 2 (RX6800 PGD 16GO)",ASRock,4.3,58,484.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6800-rx6800-pgd-16go/p/N82E16814930048,7680 x 4320,3 x DisplayPort 1.4 with DSC,1 x HDMI 2.1 VRR,,RX6800 PGD 16GO,0.0
137,MSI Mech Radeon RX 6600 XT 8GB GDDR6 PCI Express 4.0 ATX Video Card RX 6600 XT MECH 2X 8G OC,MSI,4.5,63,334.99,Free Shipping,https://www.newegg.com/msi-radeon-rx-6600-xt-rx6600xt-mech2x-8goc/p/N82E16814137682,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI (Supports 4K@120Hz / 8K@60Hz and VRR as specified in HDMI 2.1),,RX6600XT MECH2X 8GOC,0.0
500,"ZOTAC GAMING GeForce RTX 4070 Ti Trinity OC DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Advanced Cooling, SPECTRA 2.0 RGB Lighting, ZT-D40710J-10P",ZOTAC,4.1,9,829.99,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-4070-ti-zt-d40710j-10p/p/N82E16814500546,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1a,,ZT-D40710J-10P,0.0
202,SAPPHIRE NITRO+ Radeon RX 6950 XT 16GB GDDR6 PCI Express 4.0 ATX Video Card 11317-02-20G,Sapphire Tech,5.0,4,699.99,Free Shipping,https://www.newegg.com/sapphire-11317-02-20g/p/N82E16814202419,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI,,11317-02-20G,0.0
932,GIGABYTE AERO GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090AERO OC-24GD,GIGABYTE,5.0,4,1749.99,$19.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4090-gv-n4090aero-oc-24gd/p/N82E16814932601,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,GV-N4090AERO OC-24GD,19.99
932,GIGABYTE AORUS GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090AORUS M-24GD,GIGABYTE,4.7,31,1809.99,$19.99 Shipping,https://www.newegg.com/gigabyte-geforce-rtx-4090-gv-n4090aorus-m-24gd/p/N82E16814932555,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,DirectX 12 Ultimate,GV-N4090AORUS M-24GD,19.99
932,"GIGABYTE Radeon RX 6600 EAGLE 8G Graphics Card, WINDFORCE 3X Cooling System, 8GB 128-bit GDDR6, GV-R66EAGLE-8GD Video Card",GIGABYTE,4.6,87,239.99,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-6600-gv-r66eagle-8gd/p/N82E16814932481,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-R66EAGLE-8GD,0.0
932,"GIGABYTE Radeon RX 6700 XT EAGLE 12G Graphics Card, WINDFORCE 3X Cooling System, 12GB 192-bit GDDR6, GV-R67XTEAGLE-12GD Video Card",GIGABYTE,4.4,57,369.99,Free Shipping,https://www.newegg.com/gigabyte-radeon-rx-6700-xt-gv-r67xteagle-12gd/p/N82E16814932418,7680 x 4320,2 x DisplayPort 1.4a,2 x HDMI 2.1,,GV-R67XTEAGLE-12GD,0.0
930,ASRock OC Formula Radeon RX 6950 XT 16GB GDDR6 PCI Express 4.0 Video Card RX6950XT OCF 16G,ASRock,4.7,84,699.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-6950-xt-rx6950xt-ocf-16g/p/N82E16814930073,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX6950XT OCF 16G,0.0
137,MSI Gaming GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Gaming X 12G,MSI,4.8,170,379.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-3060-rtx-3060-gaming-x-12g/p/N82E16814137630,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,RTX 3060 Gaming X12G,0.0
137,MSI Gaming Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 ATX Video Card RX 7900 XTX GAMING TRIO CLASSIC 24G,MSI,4.9,17,1099.99,$14.99 Shipping,https://www.newegg.com/msi-radeon-rx-7900-xtx-rx-7900-xtx-gaming-trio-classic-24g/p/N82E16814137781,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,DirectX 12 Ultimate,RX 7900 XTX GAMING TRIO CLASSIC 24G,14.99
202,SAPPHIRE PULSE Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 x16 ATX Video Card 11322-02-20G,Sapphire Tech,4.9,9,1029.99,Free Shipping,https://www.newegg.com/sapphire-radeon-rx-7900-xtx-11322-02-20g/p/N82E16814202429,7680 x 4320,2 x DisplayPort 2.1,2 x HDMI 2.1,,11322-02-20G,0.0
137,MSI Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB GAMING X TRIO,MSI,4.9,27,1279.92,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4080-rtx-4080-16gb-gaming-x-trio/p/N82E16814137766,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,DirectX 12 Ultimate,RTX 4080 16GB GAMING X TRIO,0.0
500,"ZOTAC GAMING GeForce RTX 3060 Twin Edge OC 12GB GDDR6 192-bit 15 Gbps PCIE 4.0 Gaming Graphics Card, IceStorm 2.0 Cooling, Active Fan Control, FREEZE Fan Stop ZT-A30600H-10M",ZOTAC,4.5,42,349.99,Free Shipping,https://www.newegg.com/zotac-geforce-rtx-3060-zt-a30600h-10m/p/N82E16814500508,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1,,ZT-A30600H-10M,0.0
137,MSI Mech Radeon RX 6750 XT 12GB GDDR6 PCI Express 4.0 Video Card RX 6750 XT MECH 2X 12G OC,MSI,4.4,52,382.99,Free Shipping,https://www.newegg.com/msi-rx-6750-xt-mech-2x-12g-oc/p/N82E16814137735,7680 x 4320,3 x DisplayPort 1.4,1 x HDMI 2.1,,RX 6750 XT MECH 2X 12G OC,0.0
126,"ASUS ROG Strix GeForce RTX 4090 Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a) ROG-STRIX-RTX4090-24G-GAMING",ASUS,5.0,1,1949.99,$19.99 Shipping,https://www.newegg.com/asus-geforce-rtx-4090-rog-strix-rtx4090-24g-gaming/p/N82E16814126600,7680 x 4320,3 x DisplayPort 1.4a,2 x HDMI 2.1,,ROG-STRIX-RTX4090-24G-GAMING,19.99
137,MSI Gaming GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 ATX Video Card RTX 4080 16GB GAMING X TRIO WHITE,MSI,4.5,2,1339.99,Free Shipping,https://www.newegg.com/msi-geforce-rtx-4080-rtx-4080-16gb-gaming-x-trio-white/p/N82E16814137784,7680 x 4320,3 x DisplayPort 1.4a,1 x HDMI 2.1a,DirectX 12 Ultimate,RTX 4080 16GB GAMING X TRIO WHITE,0.0
553,Acer Predator BiFrost Arc A770 Video Card Predator BiFrost Intel Arc A770 OC DP.BKCWW.P02,Acer America,4.6,17,339.99,Free Shipping,https://www.newegg.com/acer-predator-bifrost-intel-arc-a770-oc/p/N82E16814553001,7680 x 4320,3 x DisplayPort 2.0,1 x HDMI 2.1,,DP.BKCWW.P02,0.0
131,PowerColor Hellhound Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XTX 24G-L/OC,PowerColor,3.9,7,999.99,Free Shipping,https://www.newegg.com/powercolor-radeon-rx-7900-xtx-rx7900xtx-24g-l-oc/p/N82E16814131808,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,,RX7900XTX 24G-L/OC,0.0
930,ASRock Taichi Radeon RX 7900 XTX 24GB GDDR6 PCI Express 4.0 ATX Video Card RX7900XTX TC 24GO,ASRock,4.3,26,1119.99,Free Shipping,https://www.newegg.com/asrock-radeon-rx-7900-xtx-rx7900xtx-tc-24go/p/N82E16814930080,7680 x 4320,3 x DisplayPort 2.1,1 x HDMI 2.1,,RX7900XTX TC 24GO,0.0
